Category,Clue,Answer,General Subject,Specific Subject,Correct,Value,Level,Date
The 1890s,"Moving up from Mexico, this pest invaded U.S. cotton fields, devastating crops throughout the south",Boll Weevil,History,American History,FALSE,400,2,01/18/2023
The 1890s,"Dedicated to protecting the environment, the Sierra Club was founded in 1892 with this naturalist as its first president",Muir,Politics,Political Organizations,FALSE,600,3,01/18/2023
The 1890s,In 1897 this author was released from Reading Gaol & went into exile in France,Wilde,Literature,Irish Playwright,FALSE,800,4,01/18/2023
The 1890s,"Returning after a 1,500-year break, these opened April 6, 1896",Olympic Games,Sports,Olympic History,FALSE,1000,5,01/18/2023
Women of Science,"After a 1929 earthquake, Inge Lehmann measured seismic waves & discovered the Earth had an ""inner"" one of these",Core,Science,Geology,TRUE,200,1,01/18/2023
Women of Science,"Eunice Foote's ""Circumstances Affecting the Heat of the Sun's Rays""foreshadowed the study of this effect",Greenhouse Effec,Science,Environmental Science,TRUE,400,2,01/18/2023
Women of Science,"Fei-Fei Li took a sabbatical from Stanford to be Google Cloud's chief scientist of AI/ML, artificial intelligence & this",Machine Learning,Technology,Computer Science,TRUE,600,3,01/18/2023
Women of Science,Chemist Alice Ball developed an early treatment used for decades for this devastating bacterial skin disease,Leprosy,Science,Medicine,TRUE,800,4,01/18/2023
Women of Science,"n 1823 Mary Anning discovered the first full fossil skeleton of a ""sea dragon"", this long-necked marine reptile",Plesiosaur,Science,Paleontology,TRUE,1000,5,01/18/2023
A College/Town,"The University of Georgia, kind of going Greek",Athens,Geography,Universities,TRUE,200,1,01/18/2023
A College/Town,"Cornell University, kind of going Greek",Ithaca,Geography,Universities,FALSE,400,2,01/18/2023
A College/Town,"The University of New Mexico, where classes began in 1892, before statehood",Albuquerque,Geography,Universities,FALSE,600,3,01/18/2023
A College/Town,"""Stick"" to it at Louisiana State University",Baton Rouge,Geography,Universities,TRUE,800,4,01/18/2023
A College/Town,"The University of Virginia, which Jefferson envisioned as his ""academical village""",Charlottesville,Geography,Universities,FALSE,1000,5,01/18/2023
Songs of the 2010s,"In 2014 Meghan Trainor was ""all about that bass, 'bout that bass, no"" this",Treble,Music,Pop,TRUE,200,1,01/18/2023
Songs of the 2010s,"Covering a Toto hit, Weezer blessed ""the rains down in"" this place",Africa,Music,Pop,TRUE,400,2,01/18/2023
Songs of the 2010s,This collaboration between Lil Nas X & Billy Ray Cyrus was Billboard's No. 1 Hot 100 Song of the Year for 2019,Old Town Road,Music,Pop,TRUE,600,3,01/18/2023
Songs of the 2010s,"Her hit ""Anaconda"" sampled ""Baby Got Back"" by Sir Mix-a-Lot",Nicki Minaj,Music,Pop,TRUE,800,4,01/18/2023
Songs of the 2010s,"It became the first mostly Spanish song to top the Billboard Hot 100 since ""Macarena"" in 1996",Despacito,Music,Pop,TRUE,1000,5,01/18/2023
Same First and Last Letter,"This type of farm implement may cut & gather crops like wheat, not very grim in that sense",Reaper,Linguistics,Vocabulary,FALSE,200,1,01/18/2023
Same First and Last Letter,It can be a praiseworthy feat or proof of ownership to a piece of land,Deed,Linguistics,Vocabulary,TRUE,400,2,01/18/2023
Same First and Last Letter,"This term for a privileged, high status group within a society is from Old French for ""chosen""",Elite,Linguistics,Vocabulary,FALSE,600,3,01/18/2023
Same First and Last Letter,Use your this & tell us this slang term for your head; it can also mean a small mug or cup,Noggin,Linguistics,Vocabulary,TRUE,800,4,01/18/2023
Same First and Last Letter,"Meaning produced by the lips, it's applied to letters like P & B",Labial,Linguistics,Vocabulary,TRUE,1000,5,01/18/2023
Six Pack,"Of the 6 New England states, it's the smallest in area",Rhode Island,Geography,States,TRUE,200,1,01/18/2023
Six Pack,"Established in 1968, it's the newest of the 6 Nobel Prize categories",Economics,Nobel Prize,Economics,TRUE,400,2,01/18/2023
Six Pack,"The 6 historic counties that make up this U.K. division include Armagh, Antrim & Tyrone",Ireland,Geography,Europe,FALSE,600,3,01/18/2023
Six Pack,"The ""Six Flags"" over Texas refer to the entities that have controlled it; sixth is the USA, this was fifth",Confederacy,History,State History,TRUE,800,4,01/18/2023
Six Pack,"The 4th of the 6 wives of Henry VIII was this woman, whom Henry called ""a Flanders Mare""",Anne of Cleves,History,British Monarchs,FALSE,1000,5,01/18/2023
Know Your Boundaries,"As part of the Treaty of Guadalupe Hidalgo of 1848, this river was set as the primary boundary between the U.S. & Mexico",Rio Grande,Geography,American Rivers,TRUE,400,1,01/18/2023
Know Your Boundaries,"Forming part of the boundary between Serbia & Romania, the Iron Gate Gorge is found on this long river",Danube,Geography,European Rivers,TRUE,800,2,01/18/2023
Know Your Boundaries,"Often cited as the southernmost point of South America, this rocky headland marks the northern boundary of the Drake Passage",Cape Horn,Geography,South America,FALSE,1200,3,01/18/2023
Know Your Boundaries,"After World War I, the Curzon Line was proposed as the boundary between Russia & this newly reconstituted nation",Poland,History,WWI,FALSE,1600,4,01/18/2023
Know Your Boundaries,"The world's longest freshwater lake, it forms the boundary between Tanzania & the Democratic Republic of the Congo",Lake Tanganyika,Geography,African Lakes,FALSE,2000,5,01/18/2023
Blank Verse,"""Candy is dandy but ____ is quicker""",Liquor ,Literature,Poetry,FALSE,400,1,01/18/2023
Blank Verse,"""A thing of ____ is a joy for ever: its loveliness increases""",Beauty,Literature,Poetry,FALSE,800,2,01/18/2023
Blank Verse,"""But there is no joy in ____--Mighty Casey has struck out""",Mudville,Literature,Poetry,FALSE,1200,3,01/18/2023
Blank Verse,"""I have a rendezvous with ____ at some disputed barricade""",Death,Literature,Poetry,FALSE,1600,4,01/18/2023
Blank Verse,"""In the room the women come and go talking of ____""",Michelangelo,Literature,Poetry,FALSE,2000,5,01/18/2023
Long-Serving Politicians,"Massachusetts kept this ""Liberal Lion"" in the Senate for nearly 47 years, until his death",Ted Kennedy,Politics,Senators,FALSE,400,1,01/18/2023
Long-Serving Politicians,"Kay Granger has been a House-sitter since 1997 after serving as mayor of this city, part of the metroplex with Dallas",Fort Worth,Politics,Representatives,TRUE,800,2,01/18/2023
Long-Serving Politicians,"Always colorful, he began the first of 2 terms as California governor in 1975 & would be elected to 2 more starting in 2011",Jerry Brown,Politics,Governors,FALSE,1200,3,01/18/2023
Long-Serving Politicians,"He was the center of attention as New York's governor from 1959 to 1973 & a year later, was selected to be vice president",Nelson Rockefeller,Politics,Governors,FALSE,1600,4,01/18/2023
Long-Serving Politicians,Marcy Kaptur from this city on Lake Erie west of Cleveland is the longest-serving female U.S. Representative ever,Toledo,Politics,Representatives,FALSE,2000,5,01/18/2023
Newspaper Names,"In France it's ""the world""",Le Monde,Linguistics,French,TRUE,400,1,01/18/2023
Newspaper Names,"India's Amar Ujala brings the ""light"" in this language",Hindi,Linguistics,Hindi,TRUE,800,2,01/18/2023
Newspaper Names,"In Communist Russia Pravda translated to this, which may have been stretched from time to time",Truth,Linguistics,Russian,FALSE,1200,3,01/18/2023
Newspaper Names,Samuel Morse could have used his code to signal the name of this British daily founded in 1855,Telegraph,Technology,Inventions,TRUE,1600,4,01/18/2023
Newspaper Names,This Japanese paper shares its name with the chief index on the Tokyo Stock Exchange,Nikkei,Business,Stock,FALSE,2000,5,01/18/2023
Elemental Responses,Collective term for metal dining utensils regardless of what they're made of,Silverware,Linguistics,Vocabulary,TRUE,400,1,01/18/2023
Elemental Responses,"Castor, Pollux & Heracles are sometimes listed as members of this group of fleece seekers",Argonauts,Classics,Greek Mythology,FALSE,800,2,01/18/2023
Elemental Responses,"A container with flint, steel & matches, or a situation with the potential for violence & destruction",Tinderbox,Linguistics,Vocabulary,TRUE,1200,3,01/18/2023
Elemental Responses,This herb that was used as a medicine by Native Americans is often paired with echinacea in herbal supplements,Goldenseal,Science,Medicine,FALSE,1600,4,01/18/2023
Elemental Responses,"Ferns, amphibians & early reptiles thrived during this geological period from about 360 to 300 million years ago",Carboniferous Period,Science,Geologic Periods,FALSE,2000,5,01/18/2023
Movies That Matter,"tarring Tom Hanks as a gay man with AIDS, this was the first major studio film to deal with that disease & the stigma it carried",Philadelphia,Film,Movie Titles,FALSE,400,1,01/18/2023
Movies That Matter,"This theme park announced an end to its orca programs after the release of ""Blackfish"", about Tilikum, who killed one of the trainers",Seaworld,Film,Movie Titles,TRUE,800,2,01/18/2023
Movies That Matter,This 2006 Al Gore documentary was a wake-up call for many about how climate change is devastating our planet,An Inconvenient Truth,Film,Movie Titles,TRUE,1200,3,01/18/2023
Movies That Matter,This 2014 film about voting marches in Alabama shined a light on the contributions of Black women to the civil rights movement,Selma,Film,Movie Titles,TRUE,1600,4,01/18/2023
Movies That Matter,"Amputee Harold Russell, who played a returning serviceman in this 1946 classic, was an inspiration to fellow World War II vets & the disabled",The Best Years of Our Lives,Film,Movie Titles,FALSE,2000,5,01/18/2023
Early American History,"In 1692 Increase Mather wrote, ""It were better that ten suspected"" these ""escape, than that one innocent person... be condemned""",Witches,History,Colonial America,FALSE,0,6,01/18/2023
The Real Real Housewives Of...,...Atlanta honor this leader by visiting his national historical park & touring the home where he was born in 1929,Martin Luther King Jr,History,Civil Rights,TRUE,200,1,01/17/2023
The Real Real Housewives Of...,"..this L.A.-area city bask in the fact that realtor.com says the median listing home price is $1,400 per square foot",Beverly Hills,Geography,US Cities,TRUE,400,2,01/17/2023
The Real Real Housewives Of...,"...this UAE city may well be from the Philippines or know people who are; Filipinos make up 450,000 of its 3 million people",Dubai,Geography,World Cities,TRUE,600,3,01/17/2023
The Real Real Housewives Of...,"...New York enjoy this 1,046-foot Art Deco skyscraper designed by William Van Alen & built between 1928 & 1930",The Chrysler Building,Geography,US Landmarks,TRUE,800,4,01/17/2023
The Real Real Housewives Of...,"..Salt Lake City respectfully visit this landmark completed in 1867, home to its famous organ & choir",Mormon Tabernacle,Geography,US Landmarks,TRUE,1000,5,01/17/2023
"""I"" On Art","For centuries, the most widely used type of this used for drawings was made from growths on oak trees called gall nuts",Ink,Art,Materials,FALSE,200,1,01/17/2023
"""I"" On Art","William Merritt Chase whose 1880s art is seen here, has been called the first major one of these working in the United States",Impressionist,Art,Art History,TRUE,400,2,01/17/2023
"""I"" On Art","Clinton, Massachusetts is home to the museum of Russian these, holy images in the tradition of the Orthodox Church",Icons,Religion,Orthodox Christianity,TRUE,600,3,01/17/2023
"""I"" On Art","19th century artist William West dramatized the book of Exodus in these people ""Passing Through the Wilderness""",Israelites,Religion,Abrahamic,TRUE,800,4,01/17/2023
"""I"" On Art","Using this -ism that sounds like a magician's skill, Andrea Mantegna painted a ceiling fresco that seems to be open to the sky",Illusionism,Art,Art History,TRUE,1000,5,01/17/2023
All About Hair,"The outer covering of a hair shaft is called this, like the area at the base of a fingernail",Cuticle,Science,Anatomy,TRUE,200,1,01/17/2023
All About Hair,"Many shampoos target this annoyance, a form of dermatitis in which a yeast causes your scalp to shed bits of skin",Dandruff,Science,Medicine,TRUE,400,2,01/17/2023
All About Hair,"Tiny muscles called arrector pili in our follicles make our hair literally do this, as a ghost in Shakespeare promises to do",Stand on End,Science,Anatomy,TRUE,600,3,01/17/2023
All About Hair,"Hair is mostly keratin, which like collagen & elastin is classified as a structural one of these",Protein,Science,Anatomy,TRUE,800,4,01/17/2023
All About Hair,"From the Greek for ""fox"", it's a medical term for hair loss",Alopecia,Science,Medicine,FALSE,1000,5,01/17/2023
Summing Up the Spielberg Movie,1993: DNA + prehistoric beasts = a billion box office dollars,Jurassic Park,Film,Movie Titles,TRUE,200,1,01/17/2023
Summing Up the Spielberg Movie,"Amity Island has a very, very big tourism problem",Jaws,Film,Movie Titles,FALSE,400,2,01/17/2023
Summing Up the Spielberg Movie,"Soldier Matt Damon needs rescuing; wait, Vin Diesel's in the film, too?!",Saving Private Ryan,Film,Movie Titles,TRUE,600,3,01/17/2023
Summing Up the Spielberg Movie,Making Whoopi age several decades,The Color Purple,Film,Movie Titles,FALSE,800,4,01/17/2023
Summing Up the Spielberg Movie,Young cinema lover Sammy represents cinema lover Steven Spielberg,The Fabelmans,Film,Movie Titles,FALSE,1000,5,01/17/2023
Double Vowels Next to Double Cosonants,These critters are sometimes derisively called trash pandas,Raccoons,Linguistics,Vocabulary,TRUE,200,1,01/17/2023
Double Vowels Next to Double Cosonants,"""Trial"" item metaphorically floated to gauge public reaction",Balloon,Linguistics,Vocabulary,FALSE,400,2,01/17/2023
Double Vowels Next to Double Cosonants,As a verb it can mean to turn out well or to come next in a series,Succeed,Linguistics,Vocabulary,FALSE,600,3,01/17/2023
Double Vowels Next to Double Cosonants,Types of these in the Senate include Budget & Judiciary,Committee,Linguistics,Vocabulary,TRUE,800,4,01/17/2023
Double Vowels Next to Double Cosonants,"Anglers know parts of it include the barb, the eye & the bend",Fishhook,Linguistics,Vocabulary,FALSE,1000,5,01/17/2023
During the Lix Truss Weeks,"A N.Y. Times headline on Sept. 6, the day Truss became PM, read this nation's ""nuclear plant... off line after shelling kindles blaze""",Ukraine,General Knowledge,Current Events,TRUE,200,1,01/17/2023
During the Lix Truss Weeks,This honorable Yankee set an American League record with his 62nd home run of the season on Oct. 4,Aaron Judge,Sports,Baseball,TRUE,400,2,01/17/2023
During the Lix Truss Weeks,"Queen Elizabeth II was laid to rest with her husband, parents & sister in St. George's Chapel in this castle",Windsor Castle,Geography,Landmarks,FALSE,600,3,01/17/2023
During the Lix Truss Weeks,"Near the end of September, winds of this hurricane hit 155 mph, driving a storm surge toward Fort Myers, Florida",Ian,General Knowledge,Current Events,FALSE,800,4,01/17/2023
During the Lix Truss Weeks,Holy smokes! This company agreed to fork over $438.5 million to settle a multistate youth vaping inquiry,Juul,Business,Companies,TRUE,1000,5,01/17/2023
A Little World History,"Having time to draw a cross of his own blood on the ground, Francisco Pizarro was killed in this city in 1541","Lima, Peru",History,European History,FALSE,800,2,01/17/2023
A Little World History,"This gruesome weapon named for its smell that some called more like garlic was used in World War I, skirting an 1899 international treaty",Mustard Gas,Technology,Weapons,TRUE,1200,3,01/17/2023
A Little World History,"n what's known as the South Sea this of 1720, stock in a British company skyrocketed, then crashed, ""bursting"" investors' hopes",Bubble,History,European History,TRUE,1600,4,01/17/2023
A Little World History,"He reunited the Eastern & Western Roman Empires in 324 A.D., & the new capital soon bore his name",Constantine,History,European History,FALSE,2000,5,01/17/2023
1980s Bestsellers,"Moving several years into the future, he gave us ""2010: Odyssey Two""",Arhtur C. Clarke,Literature,Authors,FALSE,400,1,01/17/2023
1980s Bestsellers,A group of Chinese women in San Francisco meet to play mah-jongg & talk in this Amy Tan bestseller,The Joy Luck Club,Literature,Book Titles,FALSE,800,2,01/17/2023
1980s Bestsellers,"After dishing the dirt on ""Hollywood Wives"", shetook on ""Hollywood Husbands""",Jackie Collins,Literature,Authors,FALSE,1200,3,01/17/2023
1980s Bestsellers,"This bestseller from Dr. Seuss was billed as ""a book for obsolete children""",You're Only Young Once,Literature,Dr. Seuss,FALSE,1600,4,01/17/2023
1980s Bestsellers,"He made ""Contact"" with his bestselling novel about Dr. Ellie Arroway, an astronomer trying to reach out to aliens",Sagan,Literature,Authors,FALSE,2000,5,01/17/2023
"3 Letters, 2 Meanings","A glass container, or to shock",Jar,Linguistics,Vocabulary,FALSE,400,1,01/17/2023
"3 Letters, 2 Meanings","To steal, or the person who might arrest you",Cop,Linguistics,Vocabulary,TRUE,1200,3,01/17/2023
"3 Letters, 2 Meanings","A body of water, or a deep, drawn-out howl",Bay,Linguistics,Vocabulary,FALSE,1600,4,01/17/2023
"3 Letters, 2 Meanings","It can be a big barrier, or the female parent equivalent of sire",Dam,Linguistics,Vocabulary,FALSE,2000,5,01/17/2023
International Food and Drink,"The Spanish diminutive for ""meat"" gives us the name of these roasted or braised chunks of pork",Carnita,General Knowledge,Cooking,TRUE,400,1,01/17/2023
International Food and Drink,"The tiny round pasta called acini di pepe is a foundation of this celebratory soup, minestra maritata in Italian",Wedding Soup,General Knowledge,Cooking,FALSE,800,2,01/17/2023
International Food and Drink,This 4-letter tea drink made with tapioca pearls was created in 1980s Taiwan,Boba,General Knowledge,Cooking,TRUE,1200,3,01/17/2023
International Food and Drink,"nvented by German scientist Justus von Liebig from brewer's yeast, this spread big in the U.K. is an acquired taste & 100% vegetarian",Marmite,General Knowledge,Cooking,TRUE,1600,4,01/17/2023
International Food and Drink,The Punjab region gives us this blended yogurt drink traditionally served in a clay cup called a kulhar,Lassi,General Knowledge,Cooking,TRUE,2000,5,01/17/2023
Emmy Winners,"In 2022 Lee Jung-jae made Emmy history winning as Lead Actor for a non-English show, this Korean one",Squid Game,Television,Emmy,TRUE,400,1,01/17/2023
Emmy Winners,"Jean Stapleton won 3 Emmys for playing Edith Bunker, Archie's wife on this '70s sitcom",All in the Family,Television,Emmy,FALSE,800,2,01/17/2023
Emmy Winners,"Seen here, she won her first Emmy for playing Tanya on ""The White Lotus""",Jennifer Coolidge,Television,Emmy,FALSE,1200,3,01/17/2023
Emmy Winners,"This series about a New York doctor in Cicely, Alaska beat out ""L.A. Law"", among others, to win Best Drama Series at the 1992 Emmys",Northern Exposure,Television,Emmy,FALSE,1600,4,01/17/2023
Emmy Winners,"Claire Danes has won for her role on ""Homeland"" & for her portrayal of this animal behaviorist & autism activist",Temple Grandin,Television,Emmy,FALSE,2000,5,01/17/2023
Sciency Stuff,"Is that a Titleist? ""Marine biologist"" George Costanza helped a whale breathe by pulling a golf ball out of this aperture",Blowhole,Science,Biologist,TRUE,400,1,01/17/2023
Sciency Stuff,"Stars held together by gravity form a star this; the closest to Earth is Hyades, the face of the constellation Taurus",Cluster,Science,Astronomy,FALSE,800,2,01/17/2023
Sciency Stuff,"This ""fictitious force"" only exists within a frame of reference, such as discus throwing",Centrifugal Force,Science,Physics,TRUE,1200,3,01/17/2023
Sciency Stuff,"You'll get an ""A"", but won't give one by naming thiscomputer programming language with a name 3 characters long",C++,Technology,Computer Science,TRUE,1600,4,01/17/2023
Sciency Stuff,A spiraling football is an example of an object displaying the angular type of this,Momentum,Science,Physics,TRUE,2000,5,01/17/2023
Geography Mnemonics,"MIMAL, sometimes said to be the silhouette of a chef or elf, stands for Minnesota, Iowa, Missouri, these 2 states","Arkansas, Louisiana",Geography,States,TRUE,0,6,01/17/2023
The Colors of Science,"In physics, this type of ""body"" is a surface that absorbs all the radiation that falls on it",Blackbody,Science,Physics,TRUE,200,1,01/16/2023
The Colors of Science,Untreated wastewater from domestic uses like showers & sinks (but not toilets) is classed as this,Gray Water,Science,Environmental Science,TRUE,400,2,01/16/2023
The Colors of Science,"t's the ""I"" in ROYGBIV, a mnemonic for the colors of the visible spectrum",Indigo,Science,Chemistry,TRUE,600,3,01/16/2023
The Colors of Science,Fossilized plants & insects are often found in specimens of this colorfully named resin,Amber,Science,Paleontology,TRUE,800,4,01/16/2023
The Colors of Science,"It's a disease that afflicts cereal grasses, or a diminutive name for a star like the Sun",Yellow Dwarf,Science,Astronomy,FALSE,1000,5,01/16/2023
Major League Baseball Teams,This National League team shares its name with a mountain range,Rockies,Sports,Baseball,TRUE,200,1,01/16/2023
Major League Baseball Teams,The roster of this MLB team includes Mookie Betts & Freddie Freeman,Dodgers,Sports,Baseball,FALSE,400,2,01/16/2023
